survived,pclass,sex,age,sibsp,parch,prediction
1,1,female,33,0,0,0.93127419027321
0,1,male,46,0,0,0.3885121516135303
0,1,male,36,0,0,0.48482549143921705
1,1,female,33,0,0,0.93127419027321
0,1,male,55,1,0,0.23769612610182603
1,1,female,54,1,0,0.8058431267419885
0,1,male,33,0,0,0.5142809913087512
1,1,male,13,2,2,0.5658119604962402
1,1,female,18,2,2,0.9315123741116195
1,1,female,21,2,2,0.9236833681236049
0,1,male,61,1,3,0.23523973470092702
1,1,female,48,1,3,0.8667027083006899
1,1,female,24,0,0,0.9489040562669322
1,1,female,35,1,0,0.8950329773358611
1,1,female,30,0,0,0.9363295351378597
1,1,male,34,0,0,0.49680233083549974
1,1,female,40,0,0,0.9095549915037034
1,1,male,35,0,0,0.4882831495322448
0,1,male,50,1,0,0.27298079831246075
1,1,female,39,1,0,0.8812455742079653
1,1,male,56,0,0,0.29481792568239434
1,1,male,28,0,0,0.5568032254175473
0,1,male,56,0,0,0.29481792568239434
0,1,male,56,0,0,0.29481792568239434
0,1,male,24,1,0,0.51053646451992
1,1,female,18,1,0,0.94191764505583
1,1,male,24,1,0,0.4984819236671296
1,1,female,23,1,0,0.9305093456538553
1,1,male,6,0,2,0.7637502978984383
1,1,male,45,1,1,0.32272088684407335
1,1,female,40,1,1,0.8821063199552599
0,1,male,57,1,0,0.21924381949170396
1,1,male,32,0,0,0.5097936249324369
0,1,male,62,0,0,0.2478863652158591
1,1,male,54,1,0,0.24299330131748564
1,1,female,43,1,0,0.8645960044254452
1,1,female,52,1,0,0.817896172314128
1,1,female,62,0,0,0.8121070977613389
0,1,male,67,1,0,0.16184646908244021
0,1,female,63,1,0,0.7450018473436085
0,1,male,61,0,0,0.2577958852307156
1,1,female,48,0,0,0.8819543051611093
1,1,female,18,0,2,0.9655385866414001
0,1,male,52,1,1,0.2709297242413561
1,1,female,39,1,1,0.8880382725149186
1,1,male,48,1,0,0.2872583873129402
0,1,male,49,1,1,0.2946169498842759
1,1,male,17,0,2,0.6898183320545256
1,1,female,39,1,1,0.8880382725149186
1,1,male,31,0,0,0.5261633864300921
0,1,male,40,0,0,0.43886050854793396
0,1,male,61,0,0,0.2662536898346722
0,1,male,47,0,0,0.38628548469762924
1,1,female,35,0,0,0.9268281037792593
0,1,male,64,1,0,0.1836814741271225
1,1,female,60,1,0,0.7677389896244983
0,1,male,60,0,0,0.27400958512262846
0,1,male,54,0,1,0.34177091388855185
0,1,male,21,0,1,0.6553881755095554
1,1,female,55,0,0,0.8522245105533168
1,1,female,31,0,2,0.9459438092445567
0,1,male,57,1,1,0.24203490445028053
1,1,female,45,1,1,0.865459136827465
0,1,male,50,1,1,0.29561214990636464
0,1,male,27,0,2,0.6162737084842622
1,1,female,50,1,1,0.8410680012554907
1,1,female,21,0,0,0.9554194306303375
0,1,male,51,0,1,0.3654027372226545
1,1,male,21,0,1,0.6500334429075594
1,1,female,31,0,0,0.9355026670870351
0,1,male,62,0,0,0.2523778025087744
1,1,female,36,0,0,0.9220546790606502
0,2,male,30,1,0,0.17761977753130304
1,2,female,28,1,0,0.7460228170746166
0,2,male,30,0,0,0.23562746901950835
0,2,male,18,0,0,0.33102469315523764
0,2,male,25,0,0,0.2729679586599608
0,2,male,34,1,0,0.15573542490594236
1,2,female,36,1,0,0.6817904830793845
0,2,male,57,0,0,0.09407254429382271
0,2,male,18,0,0,0.3229506697909221
0,2,male,23,0,0,0.28176725114635975
1,2,female,36,0,0,0.7525709715349601
0,2,male,28,0,0,0.24394339267786389
0,2,male,51,0,0,0.11605488996177224
1,2,male,32,1,0,0.15976371503525108
1,2,female,19,1,0,0.8029015759499679
0,2,male,28,0,0,0.24394339267786389
1,2,male,1,2,1,0.32243430100562087
1,2,female,4,2,1,0.8480033933929514
1,2,female,12,2,1,0.8028285612515929
1,2,female,36,0,3,0.7868856515917781
1,2,male,34,0,0,0.20290793685057207
1,2,female,19,0,0,0.8537463433613665
0,2,male,23,0,0,0.28188118012292485
0,2,male,26,0,0,0.2585997794134491
0,2,male,42,0,0,0.156675283833743
0,2,male,27,0,0,0.2511235757370006
1,2,female,24,0,0,0.8274186908060068
1,2,female,15,0,2,0.8844281511739241
0,2,male,60,1,1,0.06516466841262883
1,2,female,40,1,1,0.6571179693547033
1,2,female,20,1,0,0.7964728698308253
0,2,male,25,1,0,0.20345393405537723
1,2,female,36,0,0,0.7474652370275747
0,2,male,25,0,0,0.2649436791661763
0,2,male,42,0,0,0.15668810702183386
1,2,female,42,0,0,0.700831912622709
1,2,male,0.83,0,2,0.5132580992814189
1,2,male,26,1,1,0.21122923980792133
1,2,female,22,1,1,0.8045692874080257
1,2,female,35,0,0,0.7677032358369905
0,2,male,19,0,0,0.31887380720489755
0,2,female,44,1,0,0.6224573738508479
0,2,male,54,1,0,0.0782670222843935
0,2,male,52,0,0,0.11474779056162765
0,2,male,37,1,0,0.14129446108626298
0,2,female,29,1,0,0.7471957255265989
1,2,female,25,1,1,0.7751588068289146
1,2,female,45,0,2,0.7044031955230756
0,2,male,29,1,0,0.17852353802125787
1,2,female,28,1,0,0.7407692644331084
0,2,male,29,0,0,0.23541146250587794
0,2,male,28,0,0,0.24257057886985106
1,2,male,24,0,0,0.27265841176323374
1,2,female,8,0,2,0.9109159677459057
0,2,male,31,1,1,0.1771894624179833
1,2,female,31,1,1,0.7313498164847366
1,2,female,22,0,0,0.8439963853220687
0,2,female,30,0,0,0.7978293681394374
0,2,male,21,0,0,0.30259233836477045
1,2,male,8,1,1,0.35072672445796566
0,2,male,18,0,0,0.3281253121049087
1,2,female,48,0,2,0.6875848512881576
1,2,female,28,0,0,0.8102528989350566
0,2,male,32,0,0,0.21946662121627766
0,2,male,17,0,0,0.3363083482393306
0,2,male,29,1,0,0.18333923505271593
1,2,female,24,1,0,0.7758186412580582
0,2,male,25,0,0,0.27047198283510404
0,2,male,18,0,0,0.32764754343221714
1,2,female,18,0,1,0.8680342696924178
1,2,female,34,0,1,0.7788209902414668
0,2,male,54,0,0,0.10670733236206201
1,2,male,8,0,2,0.4493305542080094
0,2,male,42,1,1,0.1257421993245268
1,2,female,34,1,1,0.7119130350014335
1,2,female,27,1,0,0.7516493928122323
1,2,female,30,1,0,0.7286189237169627
0,2,male,23,0,0,0.2900803125821937
0,2,male,21,0,0,0.30679919977416453
0,2,male,18,0,0,0.33284963951827384
0,2,male,40,1,0,0.1260708095662952
1,2,female,29,1,0,0.7364427181098467
0,2,male,18,0,0,0.33284963951827384
0,2,male,36,0,0,0.1955827499812256
0,2,female,38,0,0,0.7478344509351185
0,2,male,35,0,0,0.20649418863842764
0,2,male,38,1,0,0.13987989734306228
0,2,male,34,1,0,0.15988039224228642
1,2,female,34,0,0,0.7763055942629121
0,2,male,16,0,0,0.3544276317032295
0,2,male,26,0,0,0.2704073064606273
0,2,male,47,0,0,0.13971040744335136
0,2,male,21,1,0,0.24079659126206004
0,2,male,21,1,0,0.23635851508177597
0,2,male,24,0,0,0.28173465462909186
0,2,male,24,0,0,0.28173465462909186
0,2,male,34,0,0,0.21032901542409096
0,2,male,30,0,0,0.23719581191804823
0,2,male,52,0,0,0.11715319315948516
0,2,male,30,0,0,0.23719581191804823
1,2,male,0.67,1,1,0.4207686743478949
1,2,female,24,0,2,0.8507095272498184
0,2,male,44,0,0,0.15316199046856177
1,2,female,6,0,1,0.9144893102204552
0,2,male,28,0,1,0.25487875448548886
1,2,male,62,0,0,0.07395953205584738
0,2,male,30,0,0,0.22700086490109944
1,2,female,7,0,2,0.9168440698794723
0,2,male,43,1,1,0.11521336740439916
1,2,female,45,1,1,0.605244474215784
1,2,female,24,1,2,0.7946259262333206
1,2,female,24,1,2,0.7946259262333206
0,2,male,49,1,2,0.09872123163129103
1,2,female,48,1,2,0.5951451712400962
1,2,female,55,0,0,0.5804275813151846
0,2,male,24,2,0,0.16323548772699645
0,2,male,32,2,0,0.12320633157321527
0,2,male,21,2,0,0.18074245179039483
0,2,female,18,1,1,0.8258684308415853
1,2,female,20,2,1,0.7559364609308241
0,2,male,23,2,1,0.17734289082898747
0,2,male,36,0,0,0.1918114524425831
1,2,female,54,1,3,0.5493677821806867
0,2,male,50,0,0,0.12159935241775308
0,2,male,44,1,0,0.11005895241699243
1,2,female,29,1,0,0.7405444534097932
0,2,male,21,0,0,0.29983328224286465
1,2,male,42,0,0,0.1589788218369363
0,2,male,63,1,0,0.055723782155105116
0,2,female,60,1,0,0.4604924462956406
0,2,male,33,0,0,0.21158799138253187
1,2,female,17,0,0,0.865588095205403
0,2,male,42,1,0,0.11792193341352422
1,2,female,24,2,1,0.726687876482078
0,2,male,47,0,0,0.1363933394762056
0,2,male,24,2,0,0.1618044080968959
0,2,male,22,2,0,0.17281646792056843
0,2,male,32,0,0,0.22225495237571224
1,2,female,23,0,0,0.8397674120993024
0,2,male,34,1,0,0.15631331533941809
1,2,female,24,1,0,0.7794882715263202
0,2,female,22,0,0,0.8450157701870846
0,2,male,35,0,0,0.2018714262008417
1,2,female,45,0,0,0.6865305771906505
0,2,male,57,0,0,0.09629127514388694
0,2,male,31,0,0,0.22838400051852986
0,2,female,26,1,1,0.7785851444584275
0,2,male,30,1,1,0.1898049818577037
1,2,female,1,1,2,0.9101514401811467
1,2,female,3,1,2,0.9035141458206796
0,2,male,25,1,2,0.23285597087528628
1,2,female,22,1,2,0.8108760355602369
1,2,female,17,0,0,0.8639166404232069
1,2,female,34,0,0,0.7647039594476379
0,2,male,36,0,0,0.193108578526379
0,2,male,24,0,0,0.2774185341927667
0,2,male,61,0,0,0.08206688542459745
0,2,male,50,1,0,0.08829630436599824
1,2,female,42,1,0,0.6248723089082092
0,2,female,57,0,0,0.5878643507190091
1,2,male,1,0,2,0.5134251743859338
0,2,male,31,1,1,0.1826319408107288
1,2,female,24,1,1,0.7901114619913814
0,2,male,30,0,0,0.23587562786436617
0,2,male,40,0,0,0.17423438221530996
0,2,male,32,0,0,0.2224366750541049
0,2,male,30,0,0,0.23587562786436617
0,2,male,46,0,0,0.14000196842572865
1,2,female,13,0,1,0.8886009221012504
1,2,female,41,0,1,0.7299840738547343
1,2,male,19,0,0,0.31606205452820024
0,2,male,39,0,0,0.17584194606202203
0,2,male,48,0,0,0.1309530337447202
0,2,male,70,0,0,0.06050074241130909
0,2,male,27,0,0,0.2533039836073861
0,2,male,54,0,0,0.10674656432043368
0,2,male,39,0,0,0.17584194606202203
0,2,male,16,0,0,0.3419217283706902
0,2,male,62,0,0,0.08210440803188836
0,2,male,32.5,1,0,0.16205004375552098
1,2,female,14,1,0,0.8340551225782089
1,2,male,2,1,1,0.40051290446594384
1,2,male,3,1,1,0.3913656948891247
0,2,male,36.5,0,2,0.21544657945546775
0,2,male,26,0,0,0.26168880010516143
0,2,male,19,1,1,0.25854916318664933
0,2,male,28,0,0,0.2471812022643115
1,2,male,20,0,0,0.29684677483474475
1,2,female,29,0,0,0.7933770044525916
0,2,male,39,0,0,0.16678699753939347
1,2,male,22,0,0,0.28071707370990234
0,2,male,23,0,0,0.27285570331475795
1,2,male,29,0,0,0.22867146593768892
0,2,male,28,0,0,0.23567241601102473
1,2,female,50,0,1,0.6447408076738377
0,2,male,19,0,0,0.316667642657266
0,2,male,41,0,0,0.16331352724349954
1,2,female,21,0,1,0.8546455568616044
1,2,female,19,0,0,0.8549265777434641
0,2,male,43,0,1,0.1630044074661087
1,2,female,32,0,0,0.7795157550093962
0,2,male,34,0,0,0.20445785004194866
1,2,male,30,0,0,0.23121682254395423
0,2,male,27,0,0,0.25283548076044815
1,2,female,2,1,1,0.8901989382114033
1,2,female,8,1,1,0.8657710424061813
1,2,female,33,0,2,0.7934488370670659
0,2,male,36,0,0,0.18871850555601913
0,2,male,34,1,0,0.14852191818224486
1,2,female,30,3,0,0.5564326594321868
1,2,female,28,0,0,0.801433741524494
0,2,male,23,0,0,0.2763101033319474
1,2,male,0.83,1,1,0.39859289194092656
1,2,male,3,1,1,0.37894110107843665
1,2,female,24,2,3,0.7453680544097646
1,2,female,50,0,0,0.6321952509194774
0,2,male,19,0,0,0.32016257540050863
1,2,female,21,0,0,0.844838919684888
0,2,male,26,0,0,0.2628236566920296
0,2,male,25,0,0,0.27059932767133615
0,2,male,27,0,0,0.2551932474480958
1,2,female,25,0,1,0.8325049024768276
1,2,female,18,0,2,0.8754080808557817
1,2,female,20,0,0,0.849979724718292
1,2,female,30,0,0,0.7960185535139147
0,2,male,59,0,0,0.0895045989428615
1,2,female,30,0,0,0.7960185535139147
0,2,male,35,0,0,0.20344249032192904
1,2,female,40,0,0,0.7238754382446378
0,2,male,25,0,0,0.27546095243759
0,2,male,41,0,0,0.16747743712804342
0,2,male,25,0,0,0.27546095243759
0,2,male,18.5,0,0,0.32992976355341347
0,2,male,14,0,0,0.37063795520269616
1,2,female,50,0,0,0.6383501989450919
0,2,male,23,0,0,0.28894485502598083
1,2,female,28,0,0,0.8087106658333332
1,2,female,27,0,0,0.8147773183551339
0,2,male,29,1,0,0.18547840055337553
0,2,female,27,1,0,0.7577566543907902
0,2,male,40,0,0,0.17144117031214665
1,2,female,31,0,0,0.7896053433055664
0,2,male,30,1,0,0.17955512161375198
0,2,male,23,1,0,0.2241835758009577
1,2,female,31,0,0,0.7791207730997511
1,2,female,12,0,0,0.8804353794689003
1,2,female,40,0,0,0.7133916461963777
1,2,female,32.5,0,0,0.7689592695486033
0,2,male,27,1,0,0.18721282798923156
1,2,female,29,1,0,0.7290653831898801
1,2,male,2,1,1,0.39493217596356817
1,2,female,4,1,1,0.8840631227517038
1,2,female,29,0,2,0.8152288505819517
1,2,female,0.92,1,2,0.9079257372862372
1,2,female,5,1,2,0.8935532173774103
0,2,male,36,1,2,0.15921077381610863
1,2,female,33,1,2,0.735481617812485
0,2,male,66,0,0,0.06705305540314127
1,2,male,31,0,0,0.22240915599161198
1,2,female,26,0,0,0.8196487891337799
0,2,female,24,0,0,0.8310229535661641
0,3,male,42,0,0,0.06301252309016642
0,3,male,13,0,2,0.19966432640504692
0,3,male,16,1,1,0.12587696760127928
1,3,female,35,1,1,0.46628438423393526
1,3,female,16,0,0,0.7064219072161998
1,3,male,25,0,0,0.11619687800278897
1,3,male,20,0,0,0.1380269103415715
1,3,female,18,0,0,0.6898032839299987
0,3,male,30,0,0,0.09742918781766814
0,3,male,26,0,0,0.11220802469303864
0,3,female,40,1,0,0.4123112612573424
1,3,male,0.83,0,1,0.2662864931521267
1,3,female,18,0,1,0.7100105837165536
1,3,male,26,0,0,0.1144882343677955
0,3,male,26,0,0,0.1144882343677955
0,3,male,20,0,0,0.1400303752518323
0,3,male,24,0,0,0.12251693867623274
0,3,male,25,0,0,0.11844371109482894
0,3,male,35,0,0,0.08380952256000965
0,3,male,18,0,0,0.1495477690933684
0,3,male,32,0,0,0.09304131367483026
1,3,female,19,1,0,0.6220767893565896
0,3,male,4,4,2,0.1023322717818279
0,3,female,6,4,2,0.5749952335406483
0,3,female,2,4,2,0.6132686221405951
1,3,female,17,4,2,0.46643310777947977
0,3,female,38,4,2,0.27523356430766155
0,3,female,9,4,2,0.5456606457253728
0,3,female,11,4,2,0.525913557691623
0,3,male,39,1,5,0.08129365995202904
1,3,male,27,0,0,0.11223238674025411
0,3,male,26,0,0,0.11620793037738053
0,3,female,39,1,5,0.5340934581599327
0,3,male,20,0,0,0.14269862176568307
0,3,male,26,0,0,0.11620793037738053
0,3,male,25,1,0,0.08784436770531354
0,3,female,18,1,0,0.6228147321572816
0,3,male,24,0,0,0.12452660530116492
0,3,male,35,0,0,0.08451539515262461
0,3,male,5,4,2,0.08149069463665073
0,3,male,9,4,2,0.056298847172708506
1,3,male,3,4,2,0.07042465112082291
0,3,male,13,4,2,0.048409619219852894
1,3,female,5,4,2,0.4788099074914502
0,3,male,40,1,5,0.06145453972686722
1,3,male,23,0,0,0.1263204922230099
1,3,female,38,1,5,0.48216766726619315
1,3,female,45,0,0,0.4415136462976816
0,3,male,21,0,0,0.13537572107212706
0,3,male,23,0,0,0.1263204922230099
0,3,female,17,0,0,0.7064034734047429
0,3,male,30,0,0,0.10193987186678427
0,3,male,23,0,0,0.13009797056252678
1,3,female,13,0,0,0.737991981771346
0,3,male,20,0,0,0.14406751027952178
0,3,male,32,1,0,0.06650832745990214
1,3,female,33,3,0,0.2863419324938127
1,3,female,0.75,2,1,0.6958193189408564
1,3,female,0.75,2,1,0.6958193189408564
1,3,female,5,2,1,0.6592697770515799
1,3,female,24,0,3,0.7010504450878673
1,3,female,18,0,0,0.7047331899710771
0,3,male,40,0,0,0.0710701265787522
0,3,male,26,0,0,0.116757414622419
1,3,male,20,0,0,0.14317930901232975
0,3,female,18,0,1,0.7195408295259605
0,3,female,45,0,1,0.47190899487951893
0,3,female,27,0,0,0.6267698202763388
0,3,male,22,0,0,0.13385972658794187
0,3,male,19,0,0,0.1480384762011928
0,3,male,26,0,0,0.11658864676833425
0,3,male,22,0,0,0.1343120029491612
0,3,male,20,0,0,0.14399851686908288
1,3,male,32,0,0,0.093824328878923835
0,3,male,21,0,0,0.1390845714525814
0,3,male,18,0,0,0.15425913439236033
0,3,male,26,0,0,0.11658864676833425
0,3,male,6,1,1,0.18337818737000622
0,3,female,9,1,1,0.7214759410699629
0,3,male,40,1,1,0.05500774404159292
0,3,female,32,1,1,0.50875966748819
0,3,male,21,0,0,0.1398804753183629
1,3,female,22,0,0,0.6700132200048168
0,3,female,20,0,0,0.6871781604322645
0,3,male,29,1,0,0.07703610380295625
0,3,male,22,1,0,0.09905100485155126
0,3,male,22,0,0,0.13656525647732187
0,3,male,35,0,0,0.08593354398660567
0,3,female,18.5,0,0,0.712130013323818
1,3,male,21,0,0,0.1413527863132764
0,3,male,19,0,0,0.15134810930676265
0,3,female,18,0,0,0.7162142409419134
0,3,female,21,0,0,0.6911946941193385
0,3,female,30,0,0,0.6095837551517771
0,3,male,18,0,0,0.15655990933652164
0,3,male,38,0,0,0.076960605450865
0,3,male,17,0,0,0.1614174945588663
0,3,male,17,0,0,0.1614174945588663
0,3,female,21,0,0,0.6786979175770589
0,3,male,21,0,0,0.1410870543695308
0,3,male,21,0,0,0.1410870543695308
0,3,male,28,0,0,0.11068227786403856
0,3,male,24,0,0,0.127280688039614
1,3,female,16,0,0,0.7203118343294833
0,3,female,37,0,0,0.5245431041750594
0,3,male,28,0,0,0.10673601194835275
0,3,male,24,0,0,0.12269715076840794
0,3,male,21,0,0,0.13597974041968425
1,3,male,32,0,0,0.09263195596035483
0,3,male,29,0,0,0.10304211201830991
0,3,male,26,1,0,0.0834761715860791
0,3,male,18,1,0,0.11093301790307619
0,3,male,20,0,0,0.1406692251018505
1,3,male,18,0,0,0.15045364288911903
0,3,male,24,0,0,0.1267626485722175
0,3,male,36,0,0,0.08325574817963854
0,3,male,24,0,0,0.1267626485722175
0,3,male,31,0,0,0.09943786380971772
0,3,male,31,0,0,0.09943786380971772
1,3,female,22,0,0,0.6681831949425873
